model,pr_auc_cv,roc_auc_cv,f1_cv,balanced_acc_cv
logreg,0.5436610951001726,0.5100520915404707,0.35124974478799664,0.49579145402220054
rf,0.5374862261388063,0.5045548410003218,0.6229366833163856,0.5117001198199572
