precio_final,frecuencia
3.1560707131623817,161
8.416713467535903,1102
13.677356221909426,2035
18.937998976282948,2104
24.19864173065647,1561
29.45928448502999,1120
34.71992723940351,677
39.98056999377703,448
45.24121274815055,323
50.50185550252407,156
55.762498256897594,95
61.023141011271115,86
66.28378376564464,47
71.54442652001816,30
76.80506927439168,13
82.0657120287652,10
87.32635478313873,8
92.58699753751225,5
97.84764029188577,5
103.10828304625929,2
108.36892580063281,3
113.62956855500633,4
118.89021130937985,1
124.15085406375337,0
129.41149681812692,1
134.67213957250044,1
139.93278232687396,1
145.19342508124748,0
150.454067835621,0
155.71471058999452,0
160.97535334436805,0
166.23599609874157,0
171.4966388531151,0
176.7572816074886,0
182.01792436186213,1
