precio_final,frecuencia
3.710075112527167,86
7.582293705570962,559
11.454512298614755,1235
15.326730891658553,1553
19.198949484702347,1502
23.07116807774614,1289
26.943386670789938,1039
30.81560526383373,799
34.68782385687752,596
38.56004244992132,405
42.43226104296511,287
46.30447963600891,199
50.176698229052704,135
54.048916822096494,106
57.92113541514029,65
61.79335400818408,45
65.66557260122788,25
69.53779119427168,21
73.41000978731547,15
77.28222838035926,10
81.15444697340305,5
85.02666556644685,10
88.89888415949065,2
92.77110275253445,7
96.64332134557824,0
100.51553993862203,2
104.38775853166582,0
108.25997712470962,0
112.13219571775342,1
116.00441431079722,1
119.876632903841,0
123.7488514968848,0
127.6210700899286,0
131.4932886829724,0
135.3655072760162,1
