fecha_extraccion,fecha_extraccion_texto,token_name,token_symbol,price,price24hAgo,Change24hAgo,Change24hAgoPct,volume24h,allTimeHigh,allTimeLow,circulatingSupply,totalSupply
2025-11-27 15:26:16,Update data: 2025-11-27 15:26:16 (UTC),Bitcoin,btc,90874.0,86990.0,3884.0,0.04274049783216316,75509016430,126080.0,67.81,19954409.0,19954440.0
2025-11-27 15:26:16,Update data: 2025-11-27 15:26:16 (UTC),Ethereum,eth,3001.49,2924.51,76.97999999999956,0.025647261859942705,20778883690,4946.05,0.432979,120695549.1559697,120695549.1559697
2025-11-27 15:26:16,Update data: 2025-11-27 15:26:16 (UTC),Chainlink,link,13.39,12.86,0.5300000000000011,0.039581777445855226,553303522,52.7,0.148183,696849970.4525868,1000000000.0
2025-11-27 15:26:16,Update data: 2025-11-27 15:26:16 (UTC),Aave,aave,184.21,177.11,7.099999999999994,0.038542967265620676,287825912,661.69,26.02,15156566.929787818,16000000.0
