d,etfBtcTotal
2024-12-16,502671.763
2024-12-17,507290.297
2024-12-18,510030.425
2024-12-19,505083.5
2024-12-23,502759.679
2024-12-26,507653.627
2024-12-27,504598.012
2024-12-30,500454.185
2024-12-31,500467.034
2025-01-02,497894.02
2025-01-03,507060.283
2025-01-06,515901.582
2025-01-07,516441.927
2025-01-08,510457.033
2025-01-10,508880.404
2025-01-13,505870.096
2025-01-14,503697.567
2025-01-16,509959.962
2025-01-17,519105.036
2025-01-21,525390.66
2025-01-22,527786.818
2025-01-23,529483.806
2025-01-24,534303.503
2025-01-27,529813.154
2025-01-28,529995.083
2025-01-29,529858.438
2025-01-30,535416.245
2025-01-31,538531.74
2025-02-03,536224.254
2025-02-04,539706.18
2025-02-05,540386.508
2025-02-06,538880.417
2025-02-07,540657.681
2025-02-10,538744.463
2025-02-11,538152.644
2025-02-12,535418.298
2025-02-13,533794.013
2025-02-14,534452.027
2025-02-18,533816.052
2025-02-19,533152.82
2025-02-20,530066.194
2025-02-21,529411.319
2025-02-24,523611.798
2025-02-25,511748.521
2025-02-26,503430.656
2025-02-27,500235.398
2025-02-28,501288.295
2025-03-03,500428.662
2025-03-05,500672.539
2025-03-06,499183.99
2025-03-07,494455.128
2025-03-10,490931.343
2025-03-11,486447.806
2025-03-12,486541.073
2025-03-13,484874.207
2025-03-14,484170.332
2025-03-17,487269.817
2025-03-18,489798.82
2025-03-19,489882.947
2025-03-20,491790.823
2025-03-21,492779.291
2025-03-24,493743.532
2025-03-25,494050.088
2025-03-26,495081.911
2025-03-27,496102.42
2025-03-28,494996.964
2025-03-31,494262.075
2025-04-01,492410.543
2025-04-02,494636.92
2025-04-03,493433.521
2025-04-07,492125.316
2025-04-08,487949.886
2025-04-09,486412.18
2025-04-10,484408.634
2025-04-11,484396.638
2025-04-14,484414.371
2025-04-15,485221.099
2025-04-16,483147.458
2025-04-17,484405.985
2025-04-21,488398.626
2025-04-22,497934.903
2025-04-23,507403.85
2025-04-24,512113.499
2025-04-25,515913.168
2025-04-28,522132.004
2025-04-29,523968.293
2025-04-30,523370.861
2025-05-01,527318.513
2025-05-02,534287.589
2025-05-05,538773.444
2025-05-06,537886.995
2025-05-07,539351.931
2025-05-08,540490.968
2025-05-09,543613.15
2025-05-12,543663.675
2025-05-13,542786.058
2025-05-14,545530.99
2025-05-15,546638.82
2025-05-16,549106.805
2025-05-19,555425.933
2025-05-20,558447.637
2025-05-21,563780.127
2025-05-22,572165.712
2025-05-23,574138.834
2025-05-27,577342.389
2025-05-28,581352.754
2025-05-29,578072.793
2025-05-30,572303.487
2025-06-02,569777.511
2025-06-03,573266.193
2025-06-04,574096.481
2025-06-05,571522.447
2025-06-06,570976.58
2025-06-09,574433.08
2025-06-10,578350.441
2025-06-11,579865.456
2025-06-12,580679.615
2025-06-13,583454.437
2025-06-16,587253.253
2025-06-17,589322.481
2025-06-18,592930.799
2025-06-20,592992.77
2025-06-23,596220.351
2025-06-24,601704.286
2025-06-25,606808.425
2025-06-26,608926.863
2025-06-27,613532.294
2025-06-30,614485.136
2025-07-01,611243.573
2025-07-02,614835.882
2025-07-03,620272.243
2025-07-07,622214.979
2025-07-08,622906.08
2025-07-09,624700.244
2025-07-10,634138.952
2025-07-11,642714.977
2025-07-14,645090.028
2025-07-15,648356.506
2025-07-16,655044.779
2025-07-17,659373.589
2025-07-18,662455.181
2025-07-21,661336.24
2025-07-22,660769.894
2025-07-23,659958.267
2025-07-24,661806.598
2025-07-25,662844.718
2025-07-28,664082.616
2025-07-29,664761.322
2025-07-30,665161.381
2025-07-31,664121.228
2025-08-01,657247.241
2025-08-04,654439.079
2025-08-05,652719.706
2025-08-06,653515.988
2025-08-07,655731.495
2025-08-08,659076.515
2025-08-11,660456.818
2025-08-13,661068.438
2025-08-14,662954.351
2025-08-15,662834.158
2025-08-18,661787.842
2025-08-19,657218.635
2025-08-20,654454.307
2025-08-21,652679.45
2025-08-22,652480.822
2025-08-25,654403.802
2025-08-26,655090.158
2025-08-27,655821.828
2025-08-28,657363.42
2025-08-29,656195.391
2025-09-02,659106.109
2025-09-03,661536.76
2025-09-04,659571.037
2025-09-05,658124.932
2025-09-08,661268.209
2025-09-09,661474.512
2025-09-10,667828.372
2025-09-11,672615.899
2025-09-12,678097.643
2025-09-15,680296.551
2025-09-16,682799.143
2025-09-17,682166.079
2025-09-18,683465.918
2025-09-19,685391.318
2025-09-22,682170.282
2025-09-23,681243.93
2025-09-24,683250.554
2025-09-25,681071.311
2025-09-26,677372.001
2025-09-29,681490.379
2025-09-30,685262.367
2025-10-01,690886.842
2025-10-02,696004.685
2025-10-03,703892.015
2025-10-06,713302.03
2025-10-07,720503.416
2025-10-08,724066.093
2025-10-09,725692.693
2025-10-10,725703.242
2025-10-13,722873.158
2025-10-14,723779.385
2025-10-15,722840.387
2025-10-16,718138.858
2025-10-17,714700.662
2025-10-20,714268.631
2025-10-21,718530.806
2025-10-22,717589.018
2025-10-23,717742.57
2025-10-24,718558.603
