precio_final,frecuencia,token_symbol
14727.47488133497,684,btc
67316.46486376988,1839,btc
119905.4548462048,1950,btc
172494.4448286397,1534,btc
225083.4348110746,1142,btc
277672.42479350953,842,btc
330261.4147759445,568,btc
382850.4047583794,382,btc
435439.3947408143,293,btc
488028.3847232492,198,btc
540617.374705684,152,btc
593206.3646881189,90,btc
645795.3546705539,92,btc
698384.3446529888,53,btc
750973.3346354237,31,btc
803562.3246178586,31,btc
856151.3146002935,25,btc
908740.3045827284,23,btc
961329.2945651633,13,btc
1013918.2845475982,9,btc
1066507.274530033,11,btc
1119096.2645124681,7,btc
1171685.254494903,3,btc
1224274.244477338,3,btc
1276863.234459773,9,btc
1329452.2244422077,3,btc
1382041.2144246427,2,btc
1434630.2044070775,4,btc
1487219.1943895125,1,btc
1539808.1843719473,2,btc
1592397.1743543823,1,btc
1644986.164336817,2,btc
1697575.1543192521,0,btc
1750164.1443016871,0,btc
1802753.134284122,1,btc
249.49807997401496,1052,eth
1836.0801430704616,2605,eth
3422.6622061669086,2042,eth
5009.244269263356,1473,eth
6595.826332359802,923,eth
8182.408395456248,592,eth
9768.990458552697,431,eth
11355.572521649143,262,eth
12942.15458474559,177,eth
14528.736647842035,143,eth
16115.318710938482,81,eth
17701.90077403493,61,eth
19288.482837131378,43,eth
20875.064900227822,19,eth
22461.64696332427,19,eth
24048.229026420715,18,eth
25634.811089517163,16,eth
27221.39315261361,10,eth
28807.975215710056,3,eth
30394.557278806504,5,eth
31981.13934190295,6,eth
33567.7214049994,7,eth
35154.303468095844,1,eth
36740.88553119229,2,eth
38327.46759428874,1,eth
39914.049657385185,1,eth
41500.63172048163,1,eth
43087.213783578074,2,eth
44673.795846674526,2,eth
46260.37790977097,0,eth
47846.959972867415,0,eth
49433.54203596387,0,eth
51020.12409906031,0,eth
52606.706162156755,1,eth
54193.28822525321,1,eth
0.36823054904215136,8060,link
81.26716683831354,1267,link
162.16610312758493,359,link
243.06503941685634,137,link
323.9639757061277,60,link
404.8629119953991,44,link
485.7618482846705,28,link
566.6607845739418,12,link
647.5597208632132,10,link
728.4586571524846,11,link
809.357593441756,2,link
890.2565297310274,3,link
971.1554660202988,1,link
1052.0544023095704,0,link
1132.9533385988416,0,link
1213.852274888113,2,link
1294.7512111773844,0,link
1375.6501474666559,0,link
1456.5490837559273,0,link
1537.4480200451985,0,link
1618.34695633447,1,link
1699.2458926237414,0,link
1780.1448289130128,0,link
1861.0437652022842,0,link
1941.9427014915557,1,link
2022.8416377808269,0,link
2103.7405740700983,0,link
2184.6395103593695,0,link
2265.5384466486407,0,link
2346.4373829379124,0,link
2427.3363192271836,1,link
2508.2352555164553,0,link
2589.1341918057265,0,link
2670.0331280949977,0,link
2750.9320643842693,1,link
