promedio,mediana,p5,p95,token_symbol
107306.82000002309,107306.82,107306.82,107306.82,btc
107694.05616503184,107688.22472113703,99244.35179352754,116202.32186059521,btc
108026.79865306414,107943.88128845167,96014.86358564759,120250.7033590605,btc
108458.33562931904,108224.9195329187,94386.10823921322,123623.07430410336,btc
108825.40453947893,108495.50417012683,92533.8475962329,126534.20556695685,btc
109152.48688389227,108665.77010193566,91024.04871229721,129255.84577369795,btc
109567.49227585897,108982.34456951008,89545.28404576435,131583.99624421814,btc
109965.16462999785,109404.93437710404,88683.24225922758,133718.86543778522,btc
110324.34383840527,109719.75016239352,87322.18146160318,135840.24101106386,btc
110739.31321923595,109728.1282870254,86240.04306928194,138283.0829377766,btc
111130.33234097974,110093.14774289663,85603.17686361322,140725.07411550652,btc
111508.9381076977,110356.14223930276,84801.96742176003,142599.94076371845,btc
111985.96174528355,110815.52342111738,84000.53703228034,144689.64859191643,btc
112467.33945971553,111301.80316948326,83154.85219529476,146895.5858328688,btc
113038.15082755088,111673.30246819709,82604.822108371,148681.57329621917,btc
113373.29490314164,111818.51587362886,81939.95193107544,150496.75756178572,btc
113909.29446506436,112104.7971290243,81447.54393475039,152510.07222417725,btc
114230.85329889896,112263.42800834481,80468.1726649849,154708.51269187717,btc
114687.0822097935,112384.65805821566,80252.72789849083,157046.6271202036,btc
115095.06250453055,112531.73079791875,79875.42631522035,158777.09150535098,btc
115461.39991442538,112991.1808119971,79139.50340613024,160690.49168930613,btc
115841.8253637546,113312.68915460174,78325.37510006121,162359.3098398317,btc
116266.36216710646,113585.65867843565,77810.3183106473,163650.30335597423,btc
116699.80091824388,113659.73633887473,77364.77676954413,165194.20691286869,btc
117122.55982956142,114196.11246392394,77303.14143823278,167115.7068188961,btc
117607.42159826314,114589.82513510386,76721.768540528,168942.79135818727,btc
118056.86829935343,115072.09890715693,76552.67028844463,170369.42465132262,btc
118484.78074567497,115271.92076358595,76300.61518991082,172211.74515181262,btc
118914.82703840247,115248.46602913561,76035.35557800191,174966.4374988113,btc
119293.11920976089,115593.22497536223,75660.2751312201,175318.47961302393,btc
119765.5919914302,115978.71837894189,75512.45476687656,176529.8694998227,btc
120220.88538404298,116163.00847782928,75267.52874668122,178433.45858289208,btc
120712.23731594002,116728.51215908154,74911.74393594955,179984.5883573289,btc
121114.93580146189,116748.00094693876,74314.96943198374,182455.7386738202,btc
121516.48384590623,116709.10828651596,74012.28547104917,183046.9444412428,btc
121917.30259186563,116960.56168139902,73664.07118400997,184968.28376279882,btc
122327.6307957336,117529.47207042632,73586.5944754676,187035.25106503192,btc
122671.70489708168,117488.07790923484,73164.59083781931,188404.79136811543,btc
123245.66720943851,117981.87415803802,72804.33518622206,190363.76307061638,btc
123601.57249203372,118040.32432876769,72649.74051145128,191666.088878604,btc
124065.91527944176,118598.58946086004,72289.40964172197,193371.35928059966,btc
124558.04360967486,119043.52689618243,72294.45955028119,195898.8521747771,btc
125062.46849068231,119295.22864937127,72447.04001369725,198072.00214631495,btc
125612.54799068315,119630.82379907965,71922.6720751029,200131.40924077504,btc
126113.2216461814,119881.27324701578,72072.22863411595,201904.9340044412,btc
126665.47377973628,120171.0820250242,71655.80602514926,203576.7376550041,btc
127175.699723707,120426.12117073033,71113.63588969421,205947.87723020068,btc
127667.81333007877,120596.7547513274,71081.50024352598,207725.01779923774,btc
