d,outFlows
2013-01-30,201435.558
2013-01-31,289249.639
2013-02-01,274509.303
2013-02-02,190427.599
2013-02-03,165533.492
2013-02-04,171061.093
2013-02-05,184919.857
2013-02-06,153206.404
2013-02-07,125005.537
2013-02-08,135994.699
2013-02-09,97425.55
2013-02-10,90470.267
2013-02-11,144222.79
2013-02-12,173090.6
2013-02-13,175061.826
2013-02-14,199563.285
2013-02-15,174732.284
2013-02-16,112437.992
2013-02-17,107640.701
2013-02-18,158835.406
2013-02-19,161118.458
2013-02-20,198092.093
2013-02-21,187908.565
2013-02-22,174349.028
2013-02-23,133853.793
2013-02-24,102160.436
2013-02-25,152604.699
2013-02-26,153565.624
2013-02-27,141389.877
2013-02-28,184459.594
2013-03-01,142969.277
2013-03-02,110813.086
2013-03-03,90149.729
2013-03-04,155411.571
2013-03-05,178150.082
2013-03-06,212329.956
2013-03-07,185315.185
2013-03-08,142429.301
2013-03-09,108046.293
2013-03-10,91859.795
2013-03-11,141351.172
2013-03-12,164367.431
2013-03-13,168402.829
2013-03-14,167198.072
2013-03-15,136035.167
2013-03-16,91997.615
2013-03-17,91137.891
2013-03-18,114372.741
2013-03-19,199076.234
2013-03-20,169610.544
2013-03-21,201485.674
2013-03-22,156514.123
2013-03-23,120361.401
2013-03-24,90819.858
2013-03-25,205443.933
2013-03-26,166482.803
2013-03-27,165390.603
2013-03-28,183779.422
2013-03-29,142906.562
2013-03-30,94695.934
2013-03-31,120981.313
2013-04-01,131540.834
2013-04-02,252174.127
2013-04-03,287777.117
2013-04-04,217686.783
2013-04-05,152176.921
2013-04-06,138526.021
2013-04-07,118538.304
2013-04-08,194864.664
2013-04-09,213026.673
2013-04-10,338591.292
2013-04-11,387827.653
2013-04-12,289784.702
2013-04-13,155830.963
2013-04-14,123784.608
2013-04-15,185513.052
2013-04-16,309053.151
2013-04-17,206382.503
2013-04-18,157571.331
2013-04-19,153154.525
2013-04-20,100234.522
2013-04-21,117513.85
2013-04-22,136156.826
2013-04-23,120014.297
2013-04-24,173473.712
2013-04-25,159051.4
2013-04-26,172564.262
2013-04-27,152379.073
2013-04-28,109244.928
2013-04-29,176970.653
2013-04-30,142510.981
2013-05-01,165388.176
2013-05-02,208506.052
2013-05-03,271635.478
2013-05-04,99541.341
2013-05-05,100155.945
2013-05-06,162494.034
2013-05-07,129009.568
2013-05-08,135080.793
2013-05-09,121511.285
2013-05-10,122565.398
2013-05-11,83975.953
2013-05-12,106712.061
2013-05-13,99293.752
2013-05-14,148049.661
2013-05-15,209643.871
2013-05-16,195686.871
2013-05-17,147383.194
2013-05-18,88263.343
2013-05-19,82879.895
2013-05-20,85006.714
2013-05-21,108674.469
2013-05-22,106634.848
2013-05-23,131657.212
2013-05-24,116594.562
2013-05-25,73851.195
2013-05-26,51261.784
2013-05-27,114848.345
2013-05-28,110491.29
2013-05-29,95604.034
2013-05-30,85978.219
2013-05-31,87253.673
2013-06-01,61203.081
2013-06-02,91562.023
2013-06-03,134944.288
2013-06-04,141525.767
2013-06-05,112047.003
2013-06-06,100512.622
2013-06-07,111639.118
2013-06-08,91371.633
2013-06-09,141935.203
2013-06-10,126452.429
2013-06-11,93495.663
2013-06-12,143204.233
2013-06-13,128326.325
2013-06-14,120643.572
2013-06-15,91746.16
2013-06-16,100094.549
2013-06-17,107755.322
2013-06-18,141374.14
2013-06-19,109854.373
2013-06-20,109501.299
2013-06-21,178623.313
2013-06-22,80885.137
2013-06-23,68522.359
2013-06-24,118896.389
2013-06-25,110050.969
2013-06-26,108289.984
2013-06-27,97285.453
2013-06-28,122384.611
2013-06-29,78028.223
2013-06-30,89120.559
2013-07-01,166930.58
2013-07-02,111093.108
2013-07-03,171563.385
2013-07-04,155997.53
2013-07-05,170257.74
2013-07-06,141448.046
2013-07-07,89579.199
2013-07-08,119843.503
2013-07-09,138264.627
2013-07-10,159618.649
2013-07-11,133882.895
2013-07-12,149013.133
2013-07-13,128693.793
2013-07-14,89313.576
2013-07-15,107391.507
2013-07-16,98423.025
2013-07-17,121880.342
2013-07-18,229471.007
2013-07-19,93107.442
2013-07-20,83339.856
2013-07-21,59694.932
2013-07-22,79690.272
2013-07-23,92946.65
2013-07-24,114494.76
2013-07-25,99704.546
2013-07-26,90978.17
2013-07-27,74137.563
2013-07-28,87916.405
2013-07-29,129282.522
2013-07-30,114543.542
2013-07-31,155195.647
2013-08-01,106802.776
2013-08-02,117687.976
2013-08-03,96862.864
2013-08-04,63491.453
2013-08-05,111880.163
2013-08-06,96358.605
2013-08-07,107745.661
2013-08-08,106306.951
2013-08-09,98534.968
2013-08-10,79626.803
2013-08-11,87874.071
2013-08-12,117481.914
2013-08-13,127024.825
2013-08-14,118872.934
2013-08-15,110881.4
2013-08-16,79194.267
2013-08-17,123130.825
2013-08-18,77987.853
2013-08-19,144541.871
2013-08-20,110841.022
2013-08-21,153487.841
2013-08-22,127768.289
2013-08-23,130029.012
2013-08-24,55950.414
2013-08-25,91308.621
2013-08-26,111821.427
2013-08-27,143741.031
2013-08-28,93738.129
2013-08-29,97225.809
2013-08-30,104029.894
2013-08-31,92479.461
2013-09-01,92379.457
2013-09-02,90091.98
2013-09-03,90335.268
2013-09-04,122872.876
2013-09-05,124551.464
2013-09-06,102461.687
2013-09-07,66222.645
2013-09-08,65402.024
2013-09-09,86585.666
2013-09-10,101330.534
2013-09-11,87359.917
2013-09-12,108137.397
2013-09-13,93477.86
2013-09-14,80446.785
2013-09-15,63118.019
2013-09-16,89089.714
2013-09-17,90499.517
2013-09-18,116603.302
2013-09-19,85735.573
2013-09-20,100262.525
2013-09-21,53729.418
2013-09-22,78260.959
2013-09-23,112249.511
2013-09-24,146700.124
2013-09-25,127841.889
2013-09-26,90188.95
2013-09-27,115529.0
2013-09-28,74008.849
2013-09-29,97289.618
2013-09-30,100820.683
2013-10-01,140726.831
2013-10-02,250067.016
2013-10-03,138112.455
2013-10-04,84859.968
2013-10-05,59757.759
2013-10-06,52459.294
2013-10-07,167352.914
2013-10-08,80341.926
2013-10-09,126240.546
2013-10-10,105573.794
2013-10-11,96043.48
2013-10-12,96229.721
2013-10-13,76305.911
2013-10-14,158462.843
2013-10-15,108116.661
2013-10-16,119766.783
2013-10-17,129437.246
2013-10-18,117442.542
2013-10-19,154859.589
2013-10-20,127055.279
2013-10-21,181356.398
2013-10-22,210379.668
2013-10-23,128002.425
2013-10-24,143966.897
2013-10-25,97869.807
2013-10-26,59722.997
2013-10-27,65364.529
2013-10-28,63662.314
2013-10-29,148098.915
2013-10-30,104514.319
2013-10-31,83367.799
2013-11-01,65287.88
2013-11-02,55982.992
2013-11-03,66516.326
2013-11-04,137385.84
2013-11-05,147409.172
2013-11-06,123375.862
2013-11-07,160008.83
2013-11-08,173553.644
2013-11-09,137650.816
2013-11-10,118327.59
2013-11-11,92029.066
2013-11-12,126221.412
2013-11-13,136301.965
2013-11-14,121884.596
2013-11-15,103239.925
2013-11-16,93488.559
2013-11-17,92122.887
2013-11-18,168740.065
2013-11-19,226124.388
2013-11-20,182047.141
2013-11-21,116453.229
2013-11-22,136879.13
2013-11-23,83067.225
2013-11-24,83777.411
2013-11-25,87732.262
2013-11-26,147982.413
2013-11-27,163082.078
2013-11-28,242472.34
2013-11-29,269763.276
2013-11-30,98968.162
2013-12-01,144258.743
2013-12-02,123655.118
2013-12-03,83443.483
2013-12-04,106142.26
2013-12-05,146378.177
2013-12-06,122874.777
2013-12-07,153909.252
2013-12-08,90498.358
2013-12-09,83350.384
2013-12-10,80463.984
2013-12-11,86118.466
2013-12-12,72857.582
2013-12-13,69328.642
2013-12-14,73942.739
2013-12-15,54813.099
2013-12-16,120997.404
2013-12-17,127303.848
2013-12-18,221327.579
2013-12-19,126513.873
2013-12-20,81117.08
2013-12-21,103895.598
2013-12-22,124323.196
2013-12-23,81294.927
2013-12-24,139323.41
2013-12-25,84913.004
2013-12-26,61979.92
2013-12-27,56674.039
2013-12-28,63761.709
2013-12-29,42687.76
2013-12-30,75044.327
2013-12-31,54995.68
2014-01-01,48012.439
2014-01-02,51839.254
2014-01-03,85420.507
2014-01-04,55300.046
2014-01-05,103850.263
2014-01-06,99582.041
2014-01-07,67821.722
2014-01-08,89968.697
2014-01-09,55815.989
2014-01-10,53600.485
2014-01-11,54076.633
2014-01-12,43636.978
2014-01-13,75203.475
2014-01-14,75016.532
2014-01-15,52795.215
2014-01-16,61506.439
2014-01-17,40882.025
2014-01-18,35946.414
2014-01-19,45874.475
2014-01-20,87634.396
2014-01-21,69021.344
2014-01-22,56912.103
2014-01-23,61979.699
2014-01-24,58826.297
2014-01-25,68570.239
2014-01-26,50213.661
2014-01-27,82834.851
2014-01-28,97352.083
2014-01-29,43520.916
2014-01-30,66178.038
2014-01-31,42603.896
2014-02-01,33860.137
2014-02-02,43217.418
2014-02-03,66358.727
2014-02-04,52268.627
2014-02-05,46583.703
2014-02-06,58360.877
2014-02-07,133217.558
2014-02-08,50641.421
2014-02-09,58095.046
2014-02-10,122089.632
2014-02-11,96661.446
2014-02-12,45905.723
2014-02-13,57928.001
2014-02-14,98538.092
2014-02-15,82757.936
2014-02-16,73343.435
2014-02-17,75350.021
2014-02-18,83771.203
2014-02-19,67178.196
2014-02-20,96829.261
2014-02-21,78997.627
2014-02-22,70570.221
2014-02-23,72102.598
2014-02-24,141081.818
2014-02-25,201903.397
2014-02-26,110101.235
2014-02-27,93953.312
2014-02-28,75868.316
2014-03-01,68358.375
2014-03-02,59545.226
2014-03-03,146926.008
2014-03-04,137073.885
2014-03-05,90993.903
2014-03-06,116571.627
2014-03-07,637418.176
2014-03-08,75678.393
2014-03-09,49422.16
2014-03-10,69672.147
2014-03-11,62862.914
2014-03-12,88512.096
2014-03-13,72792.247
2014-03-14,58666.722
2014-03-15,47212.482
2014-03-16,29629.745
2014-03-17,61735.273
2014-03-18,63172.188
2014-03-19,79308.501
2014-03-20,76237.176
2014-03-21,76516.832
2014-03-22,50363.747
2014-03-23,31919.823
2014-03-24,72635.548
2014-03-25,71745.095
2014-03-26,75855.556
2014-03-27,146422.252
2014-03-28,137819.58
2014-03-29,48186.478
2014-03-30,75787.43
2014-03-31,108331.277
2014-04-01,89231.074
2014-04-02,100689.668
2014-04-03,93856.262
2014-04-04,83870.324
2014-04-05,75480.941
2014-04-06,64477.244
2014-04-07,65255.831
2014-04-08,63755.099
2014-04-09,73270.481
2014-04-10,154855.592
2014-04-11,130760.645
2014-04-12,50405.171
2014-04-13,43142.772
2014-04-14,96303.057
2014-04-15,89263.843
2014-04-16,155401.051
2014-04-17,95974.569
2014-04-18,58400.241
2014-04-19,42131.08
2014-04-20,35587.231
2014-04-21,59748.771
2014-04-22,73219.424
2014-04-23,54481.023
2014-04-24,79301.649
2014-04-25,108442.971
2014-04-26,52359.009
2014-04-27,46388.547
2014-04-28,90847.097
2014-04-29,81527.707
2014-04-30,60035.483
2014-05-01,55070.924
2014-05-02,75116.748
2014-05-03,43464.38
2014-05-04,39162.791
2014-05-05,55215.893
2014-05-06,57884.629
2014-05-07,84816.394
2014-05-08,70308.649
2014-05-09,54931.385
2014-05-10,41166.696
2014-05-11,50575.935
2014-05-12,51086.15
2014-05-13,53681.9
2014-05-14,70315.833
2014-05-15,68046.842
2014-05-16,55717.57
2014-05-17,27267.771
2014-05-18,35669.121
2014-05-19,71810.317
2014-05-20,118565.885
2014-05-21,52947.212
2014-05-22,79014.186
2014-05-23,102125.806
2014-05-24,43577.732
2014-05-25,79617.662
2014-05-26,83292.562
2014-05-27,98530.399
2014-05-28,73226.661
2014-05-29,67593.7
2014-05-30,73349.67
2014-05-31,74078.395
2014-06-01,80169.864
2014-06-02,80979.834
2014-06-03,81231.937
2014-06-04,75806.928
2014-06-05,86989.824
2014-06-06,60600.376
2014-06-07,42139.176
2014-06-08,40778.423
2014-06-09,43969.744
2014-06-10,79382.906
2014-06-11,46914.204
2014-06-12,82118.011
2014-06-13,95612.597
2014-06-14,58666.362
2014-06-15,42872.975
2014-06-16,76589.177
2014-06-17,62232.098
2014-06-18,62823.436
2014-06-19,64429.934
2014-06-20,56470.553
2014-06-21,43853.593
2014-06-22,38187.14
2014-06-23,84802.222
2014-06-24,110110.252
2014-06-25,64147.247
2014-06-26,60742.598
2014-06-27,61047.95
2014-06-28,39249.729
2014-06-29,43903.654
2014-06-30,68058.377
2014-07-01,102700.264
2014-07-02,90600.15
2014-07-03,64725.324
2014-07-04,46099.679
2014-07-05,32459.353
2014-07-06,29026.569
2014-07-07,55931.252
2014-07-08,47407.283
2014-07-09,45504.855
2014-07-10,64977.542
2014-07-11,44200.104
2014-07-12,36721.767
2014-07-13,48354.1
2014-07-14,59875.916
2014-07-15,42925.94
2014-07-16,72195.976
2014-07-17,56661.676
2014-07-18,53081.121
2014-07-19,53120.651
2014-07-20,25957.594
2014-07-21,50286.051
2014-07-22,64637.053
2014-07-23,48644.651
2014-07-24,56327.513
2014-07-25,55069.15
2014-07-26,32209.851
2014-07-27,39519.327
2014-07-28,50021.136
2014-07-29,38672.143
2014-07-30,64584.706
2014-07-31,57998.247
2014-08-01,57603.013
2014-08-02,39200.79
2014-08-03,33369.238
2014-08-04,53322.414
2014-08-05,84413.762
2014-08-06,66654.688
2014-08-07,55624.258
2014-08-08,49306.789
2014-08-09,28710.668
2014-08-10,50463.112
2014-08-11,63466.562
2014-08-12,69943.099
2014-08-13,85820.106
2014-08-14,88229.523
2014-08-15,103389.871
2014-08-16,54104.224
2014-08-17,63102.807
2014-08-18,116036.115
2014-08-19,70334.789
2014-08-20,84097.857
2014-08-21,72166.169
2014-08-22,78959.92
2014-08-23,40348.384
2014-08-24,45898.0
2014-08-25,98586.865
2014-08-26,63977.958
2014-08-27,100086.974
2014-08-28,85588.545
2014-08-29,93554.492
2014-08-30,44850.908
2014-08-31,46412.118
2014-09-01,84165.895
2014-09-02,75461.906
2014-09-03,72762.612
2014-09-04,70431.561
2014-09-05,60275.277
2014-09-06,61144.967
2014-09-07,44031.799
2014-09-08,64310.678
2014-09-09,77169.8
2014-09-10,92824.347
2014-09-11,69304.614
2014-09-12,81320.849
2014-09-13,47949.892
2014-09-14,67135.838
2014-09-15,84833.211
2014-09-16,77563.646
2014-09-17,78763.47
2014-09-18,121765.423
2014-09-19,136203.924
2014-09-20,79325.468
2014-09-21,110142.565
2014-09-22,82670.162
2014-09-23,105713.626
2014-09-24,116984.495
2014-09-25,107341.249
2014-09-26,84801.026
2014-09-27,85194.832
2014-09-28,90500.461
2014-09-29,133122.518
2014-09-30,92535.027
2014-10-01,109698.266
2014-10-02,86335.403
2014-10-03,136663.834
2014-10-04,113089.549
2014-10-05,239982.11
2014-10-06,204625.047
2014-10-07,149035.165
2014-10-08,190918.228
2014-10-09,191442.788
2014-10-10,190388.665
2014-10-11,91949.086
2014-10-12,65120.005
2014-10-13,166723.827
2014-10-14,166701.148
2014-10-15,116816.366
2014-10-16,111156.06
2014-10-17,110744.294
2014-10-18,99282.202
2014-10-19,59771.176
2014-10-20,93753.723
2014-10-21,88649.951
2014-10-22,91887.285
2014-10-23,124971.802
2014-10-24,108926.364
2014-10-25,70597.273
2014-10-26,85834.186
2014-10-27,98252.751
2014-10-28,97596.851
2014-10-29,123931.494
2014-10-30,117606.247
2014-10-31,102782.148
2014-11-01,83093.626
2014-11-02,80714.241
2014-11-03,109021.896
2014-11-04,186713.773
2014-11-05,142977.118
2014-11-06,114635.531
2014-11-07,171974.197
2014-11-08,71884.001
2014-11-09,86018.179
2014-11-10,170949.533
2014-11-11,126032.592
2014-11-12,228700.046
2014-11-13,250938.251
2014-11-14,187428.113
