inUSD,outUSD,differentUSD,inValue,outValue,differentValue,time,token_name
4446296593.711745,4034828061.051888,411468532.6598573,1029862.2989717688,934556.9318941586,95305.36707761022,2025-08-19T00:00:00Z,ethereum
1364732121.0357544,1319950049.3153996,44782071.720354795,364934.8125326251,352959.90793692274,11974.904595702363,2025-07-27T00:00:00Z,ethereum
2275561012.950234,2371346218.0723605,-95785205.12212658,630078.7786269711,656600.6889209227,-26521.91029395163,2025-08-06T00:00:00Z,ethereum
2617794160.354538,2868642779.9887176,-250848619.6341796,710758.3721198275,778866.3842927755,-68108.01217294799,2025-08-07T00:00:00Z,ethereum
1019525623.4008043,964810282.7194769,54715340.68132734,299447.41618203174,283376.8368689889,16070.579313042865,2025-08-03T00:00:00Z,ethereum
3888542647.7462626,3788803154.3007646,99739493.44549799,1003816.097989102,978068.6346858747,25747.463303227327,2025-07-28T00:00:00Z,ethereum
4780309711.578767,4513422519.222208,266887192.3565588,1225352.8330164466,1156940.7432186268,68412.08979781973,2025-08-08T00:00:00Z,ethereum
3423974206.1851425,3360532787.5390396,63441418.646102905,925766.2385285897,908613.0942669179,17153.144261671812,2025-08-05T00:00:00Z,ethereum
5117611930.950777,5520592971.291553,-402981040.3407755,1197155.4129776,1291424.1735402446,-94268.76056264457,2025-08-11T00:00:00Z,ethereum
2599615187.594057,2532356455.941891,67258731.65216589,683528.2608714316,665843.6265863158,17684.634285115753,2025-07-29T00:00:00Z,ethereum
32029358.527476232,31763781.764320116,265576.763156116,1763731.196446929,1749106.9253480241,14624.271098904777,2025-07-24T00:00:00Z,chainlink
36820683.004324004,60174757.24392762,-23354074.239603616,1692126.9763016545,2765384.0645187325,-1073257.088217078,2025-08-16T00:00:00Z,chainlink
23203892.666370213,29003974.54377153,-5800081.877401318,1303589.4756387763,1629436.7721219962,-325847.29648321983,2025-07-30T00:00:00Z,chainlink
40591779.23777251,43313879.33004621,-2722100.0922736973,2297214.44469567,2451266.5155657153,-154052.0708700451,2025-07-31T00:00:00Z,chainlink
104704458.66377787,114563609.44592524,-9859150.782147363,4451720.181283074,4870901.762156686,-419181.5808736114,2025-08-13T00:00:00Z,chainlink
135109161.7333006,128324176.96252757,6784984.770773023,5715277.56909055,5428264.6769258715,287012.8921646783,2025-08-20T00:00:00Z,chainlink
103718493.52054787,109975389.96297315,-6256896.442425281,4328818.59434674,4589957.844865325,-261139.25051858462,2025-08-14T00:00:00Z,chainlink
91155426.92142677,99130131.26893881,-7974704.347512037,4954099.289207978,5387507.1341814585,-433407.8449734803,2025-08-08T00:00:00Z,chainlink
124604983.76586416,109997708.40511446,14607275.360749707,7368715.775627685,6504891.094329656,863824.6812980287,2025-08-01T00:00:00Z,chainlink
134584497.81006342,86790286.64426608,47794211.16579734,6134206.82817062,3955801.579045858,2178405.249124762,2025-08-10T00:00:00Z,chainlink
19084956.656081643,21977136.957301892,-2892180.3012202494,1165137.7689915532,1341705.552948834,-176567.78395728068,2025-08-06T00:00:00Z,chainlink
38180362.96086585,43409521.28160572,-5229158.320739873,1985458.2922967158,2257385.40205958,-271927.1097628644,2025-07-28T00:00:00Z,chainlink
27461850.077400498,38654098.88521264,-11192248.80781214,1646393.8895324038,2317392.019497161,-670998.129964757,2025-08-07T00:00:00Z,chainlink
12225031.52160196,19324566.025158346,-7099534.503556386,779160.7088337766,1231648.5675690472,-452487.85873527057,2025-08-03T00:00:00Z,chainlink
34653874.82234498,58727251.958177514,-24073377.135832533,1949036.8291532611,3302995.0482664476,-1353958.2191131865,2025-07-25T00:00:00Z,chainlink
74612509.0897739,67023275.02794818,7589234.061825715,3339861.6423354466,3000146.5992814777,339715.0430539688,2025-08-15T00:00:00Z,chainlink
14905155.33153724,21253442.422800448,-6348287.091263209,926361.4252043032,1320910.0324922593,-394548.60728795605,2025-08-02T00:00:00Z,chainlink
46752573.547744036,43357557.68898788,3395015.858756155,2381689.941301275,2208739.5664283177,172950.37487295736,2025-07-23T00:00:00Z,chainlink
31357228.33543395,26392385.792891335,4964842.542542614,1705123.8899094046,1435148.765246946,269975.12466245866,2025-07-27T00:00:00Z,chainlink
36930560.65869819,41479701.65173387,-4549140.993035682,2033621.1816463761,2284124.5402937145,-250503.35864733835,2025-07-29T00:00:00Z,chainlink
20005177.850082412,28570301.81785558,-8565123.96777317,1205857.6160387227,1722139.952854466,-516282.33681574324,2025-08-04T00:00:00Z,chainlink
117351694.3298939,141764183.84624246,-24412489.516348556,4559117.8838342605,5507544.049970572,-948426.1661363114,2025-08-19T00:00:00Z,chainlink
21173907.66516155,21710138.3658731,-536230.7007115483,1158944.0429754541,1188294.382368533,-29350.339393078815,2025-07-26T00:00:00Z,chainlink
20948700.886566997,30722027.57639556,-9773326.689828563,1227942.6076534,1800822.249495637,-572879.641842237,2025-08-05T00:00:00Z,chainlink
167308082.30293652,171755977.42337602,-4447895.1204395,6530370.113307436,6703980.383426077,-173610.27011864074,2025-08-18T00:00:00Z,chainlink
100601766.40232107,84477992.6863463,16123773.715974763,4439618.993924143,3728066.755796395,711552.238127748,2025-08-17T00:00:00Z,chainlink
82236126.50546555,83729768.4962967,-1493641.9908311516,4147056.303856054,4222378.6432827385,-75322.33942668466,2025-08-09T00:00:00Z,chainlink
176067316.73110938,178729198.56626245,-2661881.835153073,8039603.503703621,8161150.619464039,-121547.11576041766,2025-08-11T00:00:00Z,chainlink
92806907.17011708,79329505.32206073,13477401.848056346,4383887.915451917,3747260.525368953,636627.3900829637,2025-08-12T00:00:00Z,chainlink
22525493.602597315,25945339.02101748,-3419845.418420166,82272.88652835134,94763.64739770436,-12490.76086935302,2025-07-31T00:00:00Z,aave
30780755.645748276,36438252.67783258,-5657497.032084305,95447.16315466611,112990.33358501844,-17543.17043035233,2025-08-13T00:00:00Z,aave
16540688.891359713,21969709.549334846,-5429020.6579751335,59430.47172808174,78936.86960813038,-19506.397880048637,2025-08-20T00:00:00Z,aave
6693255.87360761,7874733.846210214,-1181477.972602604,22699.77573630744,26706.687398121867,-4006.9116618144253,2025-07-27T00:00:00Z,aave
20681204.676293306,20189464.19918895,491740.47710435465,70984.0558650877,69296.25604664131,1687.799818446394,2025-08-09T00:00:00Z,aave
7620456.3335220665,9421871.93083315,-1801415.5973110832,30475.73018805065,37679.95173298598,-7204.221544935332,2025-08-03T00:00:00Z,aave
16716254.93928843,14390148.800218016,2326106.139070414,63427.26214869447,54601.20963846714,8826.052510227331,2025-08-07T00:00:00Z,aave
6276268.831224814,7038956.696631405,-762687.8654065905,21351.48437225656,23946.1020467134,-2594.61767445684,2025-07-26T00:00:00Z,aave
10634195.98822887,10139147.968426136,495048.01980273426,35946.983024807734,34273.56241228455,1673.4206125231867,2025-08-17T00:00:00Z,aave
17049499.46814149,18686385.742286563,-1636886.2741450742,66790.06333741327,73202.43562614707,-6412.3722887337935,2025-08-06T00:00:00Z,aave
33919505.142771356,17445370.728972957,16474134.4137984,119141.21932831526,61276.328517642985,57864.890810672274,2025-07-25T00:00:00Z,aave
20637750.191098902,24676326.826493915,-4038576.635395013,66637.87598029996,79678.16217789448,-13040.286197594527,2025-07-23T00:00:00Z,aave
30486984.365760062,42506631.94772363,-12019647.581963565,98935.53258400153,137941.3660481053,-39005.833464103765,2025-08-11T00:00:00Z,aave
16631384.426174304,24628523.366055753,-7997138.93988145,58540.59988093734,86689.62818041448,-28149.02829947714,2025-08-08T00:00:00Z,aave
19962123.674572263,13609326.7016751,6352796.972897163,64784.74564168456,44167.483535115374,20617.262106569186,2025-08-10T00:00:00Z,aave
34150541.531520404,37222206.2871098,-3071664.7555893958,109657.1991507575,119520.29761779467,-9863.098467037169,2025-08-15T00:00:00Z,aave
35387457.92182417,38327297.24518059,-2939839.32335642,135610.10891674334,146876.01933389765,-11265.910417154315,2025-08-01T00:00:00Z,aave
41501953.9994789,46929835.317238234,-5427881.317759335,125005.88554059908,141354.92565433204,-16349.04011373296,2025-08-14T00:00:00Z,aave
19893185.77291035,21868978.759350758,-1975792.986440409,65602.116386065,72117.72444054465,-6515.608054479657,2025-08-18T00:00:00Z,aave
28859797.192447387,27799652.721001096,1060144.4714462906,102430.51354905905,98667.80025200036,3762.7132970586827,2025-07-30T00:00:00Z,aave
10395083.62258701,10575477.260940656,-180393.6383536458,40631.189894414514,41336.29323382059,-705.1033394060723,2025-08-02T00:00:00Z,aave
18667071.521019306,20172339.57263728,-1505268.0516179726,61346.31936974369,66293.14000669516,-4946.820636951474,2025-07-28T00:00:00Z,aave
18458229.87231118,18649725.555263203,-191495.68295202404,63948.967129681194,64612.40838159371,-663.441251912518,2025-08-19T00:00:00Z,aave
35947364.22548851,36496927.862363376,-549563.636874862,122112.11436065126,123978.96549481413,-1866.8511341628619,2025-08-12T00:00:00Z,aave
16323881.74598584,15638286.550164625,685595.1958212145,56433.24948484354,54063.08010151638,2370.1693833271565,2025-07-29T00:00:00Z,aave
17833194.511000548,21380754.174724855,-3547559.663724307,67639.65299070947,81095.217806656,-13455.564815946535,2025-08-04T00:00:00Z,aave
11898225.323117614,9416223.842028596,2482001.4810890183,44502.63810262422,35219.269307407965,9283.368795216258,2025-08-05T00:00:00Z,aave
17411522.90765943,11613277.181603381,5798245.726056049,57970.77711889273,38665.813822551616,19304.963296341113,2025-08-16T00:00:00Z,aave
14350904.749818845,48450400.27215815,-34099495.52233931,49480.75974836688,167053.06441457145,-117572.30466620457,2025-07-24T00:00:00Z,aave
