estadistica,valor
Precio inicial,21.5085
Precio promedio a 69 días,25.934173560767604
Mediana a 69 días,23.098124710578077
Moda,20.0
Desviación estándar,13.106718177133507
Rango (min - max),3.16 - 187.28
Percentil 5 (escenario de riesgo),10.790866486241878
Percentil 95 (escenario alcista),49.895122371163616
