d,etfFlow
2025-02-06,-1506.091
2025-02-07,1777.264
2025-02-10,-1913.218
2025-02-11,-591.819
2025-02-12,-2734.345
2025-02-13,-1624.286
2025-02-14,658.014
2025-02-18,-635.975
2025-02-19,-663.232
2025-02-20,-3086.626
2025-02-21,-654.874
2025-02-24,-5799.521
2025-02-25,-11863.277
2025-02-26,-8317.865
2025-02-27,-3195.257
2025-02-28,1052.897
2025-03-03,-859.633
2025-03-05,243.877
2025-03-06,-1488.549
2025-03-07,-4728.862
2025-03-10,-3523.785
2025-03-11,-4483.538
2025-03-12,93.268
2025-03-13,-1666.866
2025-03-14,-703.875
2025-03-17,3099.485
2025-03-18,2529.003
2025-03-19,84.126
2025-03-20,1907.876
2025-03-21,988.469
2025-03-24,964.241
2025-03-25,306.556
2025-03-26,1031.822
2025-03-27,1020.51
2025-03-28,-1105.456
2025-03-31,-734.889
2025-04-01,-1851.532
2025-04-02,2226.377
2025-04-03,-1203.4
2025-04-07,-1308.205
2025-04-08,-4175.429
2025-04-09,-1537.706
2025-04-10,-2003.546
2025-04-11,-11.996
2025-04-14,17.733
2025-04-15,806.728
2025-04-16,-2073.64
2025-04-17,1258.527
2025-04-21,3992.641
2025-04-22,9536.277
2025-04-23,9468.947
2025-04-24,4709.649
2025-04-25,3799.669
2025-04-28,6218.836
2025-04-29,1836.289
2025-04-30,-597.432
2025-05-01,3947.652
2025-05-02,6969.076
2025-05-05,4485.854
2025-05-06,-886.448
2025-05-07,1464.936
2025-05-08,1139.037
2025-05-09,3122.183
2025-05-12,50.525
2025-05-13,-877.617
2025-05-14,2744.931
2025-05-15,1107.83
2025-05-16,2467.985
2025-05-19,6319.129
2025-05-20,3021.704
2025-05-21,5332.49
2025-05-22,8385.585
2025-05-23,1973.122
2025-05-27,3203.555
2025-05-28,4010.366
2025-05-29,-3279.961
2025-05-30,-5769.306
2025-06-02,-2525.975
2025-06-03,3488.681
2025-06-04,830.289
2025-06-05,-2574.034
2025-06-06,-545.867
2025-06-09,3456.501
2025-06-10,3917.36
2025-06-11,1515.015
2025-06-12,814.159
2025-06-13,2774.822
2025-06-16,3798.816
2025-06-17,2069.228
2025-06-18,3608.318
2025-06-20,61.97
2025-06-23,3227.582
2025-06-24,5483.935
2025-06-25,5104.139
2025-06-26,2118.438
2025-06-27,4605.431
2025-06-30,952.842
2025-07-01,-3241.563
2025-07-02,3592.31
2025-07-03,5436.361
2025-07-07,1942.736
