d,unixTs,sopr
2011-01-02,1293926400,1.2455267747
2011-01-03,1294012800,1.0875485611
2011-01-04,1294099200,1.0498103409
2011-01-05,1294185600,1.046623527
2011-01-06,1294272000,1.1034234039
2011-01-07,1294358400,1.1091062166
2011-01-08,1294444800,1.2078663693
2011-01-09,1294531200,1.0955083355
2011-01-10,1294617600,1.5070357134
2011-01-11,1294704000,2.1748197109
2011-01-12,1294790400,1.0121420516
2011-01-13,1294876800,1.0534177348
2011-01-14,1294963200,1.1031685036
2011-01-15,1295049600,1.0058427442
2011-01-16,1295136000,1.6660114208
2011-01-17,1295222400,1.0078247756
2011-01-18,1295308800,1.0038768154
2011-01-19,1295395200,1.7567355147
2011-01-20,1295481600,1.0904067349
2011-01-21,1295568000,1.0862336033
2011-01-22,1295654400,1.0606843086
2011-01-23,1295740800,1.1852414868
2011-01-24,1295827200,1.1480074432
2011-01-25,1295913600,1.0945821054
2011-01-26,1296000000,1.8705808408
2011-01-27,1296086400,1.7596586512
2011-01-28,1296172800,1.7199412357
2011-01-29,1296259200,1.4124697012
2011-01-30,1296345600,1.0500346739
2011-01-31,1296432000,1.0519248714
2011-02-01,1296518400,1.0199986929
2011-02-02,1296604800,1.0155955575
2011-02-03,1296691200,1.0717833614
2011-02-04,1296777600,1.1651298311
2011-02-05,1296864000,2.0695786878
2011-02-06,1296950400,2.6520655288
2011-02-07,1297036800,2.4246096487
2011-02-08,1297123200,1.1280956505
2011-02-09,1297209600,2.1475699621
2011-02-10,1297296000,1.3654064741
2011-02-11,1297382400,1.4389095025
2011-02-12,1297468800,1.2251946042
2011-02-13,1297555200,1.3922727875
2011-02-14,1297641600,2.0973599436
2011-02-15,1297728000,1.101295567
2011-02-16,1297814400,1.157765408
2011-02-17,1297900800,1.1484145503
2011-02-18,1297987200,1.3546249288
2011-02-20,1298160000,1.2735337561
2011-02-21,1298246400,1.1466553281
2011-02-22,1298332800,1.2425279682
2011-02-24,1298505600,1.1758879648
2011-02-25,1298592000,1.0828186726
2011-02-26,1298678400,1.6711062861
2011-02-27,1298764800,1.4481087948
2011-02-28,1298851200,1.5225228019
2011-03-01,1298937600,2.0268213956
2011-03-02,1299024000,1.0158335171
2011-03-03,1299110400,1.0165551324
2011-03-04,1299196800,1.0520572123
2011-03-05,1299283200,1.2011248111
2011-03-06,1299369600,1.0126001292
2011-03-07,1299456000,1.0048831839
2011-03-08,1299542400,1.1201327058
2011-03-09,1299628800,1.0088601387
2011-03-12,1299888000,1.4228691476
2011-03-13,1299974400,1.1200400344
2011-03-14,1300060800,1.1844833429
2011-03-15,1300147200,1.1789654473
2011-03-16,1300233600,1.6878399388
2011-03-17,1300320000,1.2527208068
2011-03-18,1300406400,1.0433168301
2011-03-19,1300492800,1.10340289
2011-03-20,1300579200,1.0407357992
2011-03-21,1300665600,1.1482431757
2011-03-22,1300752000,1.0227603142
2011-03-23,1300838400,1.1678856351
2011-03-24,1300924800,1.3486369107
2011-03-26,1301097600,1.3984614998
2011-03-27,1301184000,1.1169475249
2011-03-28,1301270400,1.0772117496
2011-03-29,1301356800,1.0258630887
2011-03-30,1301443200,1.0193795984
2011-03-31,1301529600,1.0264323568
2011-04-02,1301702400,1.0002131368
2011-04-03,1301788800,1.034553967
2011-04-04,1301875200,1.3842481722
2011-04-05,1301961600,1.224360257
2011-04-06,1302048000,1.0634672674
2011-04-07,1302134400,1.0406808565
2011-04-10,1302393600,1.0073874487
2011-04-12,1302566400,1.0448879654
2011-04-13,1302652800,1.0681757655
2011-04-14,1302739200,1.0307088122
2011-04-15,1302825600,1.13618275
2011-04-16,1302912000,1.2162462539
2011-04-18,1303084800,1.3130820258
2011-04-21,1303344000,1.0015763868
2011-04-22,1303430400,1.0246649274
2011-04-23,1303516800,1.1576063402
2011-04-24,1303603200,1.1040005767
2011-04-25,1303689600,1.1341679258
2011-04-26,1303776000,1.1150198117
2011-04-27,1303862400,1.0926039072
2011-04-28,1303948800,1.1726787712
2011-04-29,1304035200,2.9402201237
2011-04-30,1304121600,1.4584566106
2011-05-01,1304208000,1.5099035764
2011-05-02,1304294400,1.4290220903
2011-05-03,1304380800,1.6204965134
2011-05-04,1304467200,2.2251868274
2011-05-05,1304553600,1.3374883043
2011-05-06,1304640000,1.7934448894
2011-05-07,1304726400,1.1428891134
2011-05-08,1304812800,1.0374091757
2011-05-09,1304899200,1.2781080798
2011-05-10,1304985600,1.0989809851
2011-05-11,1305072000,1.3979707893
2011-05-12,1305158400,1.8148083234
2011-05-13,1305244800,1.095136824
2011-05-14,1305331200,1.1035573596
2011-05-15,1305417600,1.4613574839
2011-05-16,1305504000,1.7302134721
2011-05-17,1305590400,1.1128980563
2011-05-18,1305676800,1.1556442834
2011-05-19,1305763200,1.318786412
2011-05-20,1305849600,1.3075813679
2011-05-21,1305936000,1.0307403688
2011-05-22,1306022400,1.0134332976
2011-05-23,1306108800,1.0437472958
2011-05-24,1306195200,1.3727424199
2011-05-25,1306281600,1.2652366728
2011-05-26,1306368000,1.1671613668
2011-05-27,1306454400,1.0120436443
2011-05-28,1306540800,1.1314242981
2011-05-29,1306627200,1.0696051035
2011-05-30,1306713600,1.3837729521
2011-05-31,1306800000,1.1669723122
2011-06-01,1306886400,1.11570841
2011-06-02,1306972800,1.4768430902
2011-06-03,1307059200,1.5582137942
2011-06-04,1307145600,1.1001585149
2011-06-05,1307232000,1.4694415152
2011-06-06,1307318400,1.052422583
2011-06-07,1307404800,1.1663101893
2011-06-08,1307491200,1.6156406959
2011-06-09,1307577600,1.2425821202
2011-06-10,1307664000,1.1694241412
2011-06-12,1307836800,1.0302342226
2011-06-13,1307923200,1.3534604959
2011-06-14,1308009600,1.3417309161
2011-06-15,1308096000,1.4613434468
2011-06-16,1308182400,1.2020640832
2011-06-17,1308268800,1.1509152134
2011-06-18,1308355200,1.0269103651
2011-06-19,1308441600,1.0737123976
2011-06-21,1308614400,1.0194472555
2011-06-22,1308700800,1.010041462
2011-06-23,1308787200,1.0046615131
2011-06-25,1308960000,1.012870238
2011-06-26,1309046400,1.1431663741
2011-06-27,1309132800,1.203346596
2011-06-29,1309305600,1.0061536634492891
2011-06-30,1309392000,1.014480816678853
2011-07-01,1309478400,0.9944373688178482
2011-07-02,1309564800,0.989683353957904
2011-07-03,1309651200,1.005495442880115
2011-07-04,1309737600,0.994166873614518
2011-07-05,1309824000,1.0063960161272654
2011-07-06,1309910400,1.0064622401897638
2011-07-07,1309996800,0.9982047662128786
2011-07-08,1310083200,0.9863165402311311
2011-07-09,1310169600,0.9990932860143247
2011-07-10,1310256000,1.0061711082010714
2011-07-11,1310342400,1.0019082379004134
2011-07-12,1310428800,1.0011126264820955
2011-07-13,1310515200,1.0008764249644981
2011-07-14,1310601600,1.000047070026611
2011-07-15,1310688000,1.0017125701781078
2011-07-16,1310774400,0.9983538052207751
2011-07-17,1310860800,1.000658725135141
2011-07-18,1310947200,0.950534366125968
2011-07-19,1311033600,1.0027352753106196
2011-07-20,1311120000,0.9364650291118902
2011-07-21,1311206400,0.9990728571095371
2011-07-22,1311292800,0.9987485212460191
2011-07-23,1311379200,1.000570088472492
2011-07-24,1311465600,1.0031631566712167
2011-07-25,1311552000,1.0019060973129308
2011-07-26,1311638400,1.0009192609563915
2011-07-27,1311724800,1.0017173473328826
2011-07-28,1311811200,0.9983403804184036
2011-07-29,1311897600,1.002288575358478
2011-07-30,1311984000,1.0126085695183629
2011-07-31,1312070400,0.9894695211071143
2011-08-01,1312156800,0.9953300169801269
2011-08-02,1312243200,0.9891219282855884
2011-08-03,1312329600,0.9112885498481321
2011-08-04,1312416000,1.0054381234507708
2011-08-05,1312502400,0.980268770697788
2011-08-06,1312588800,0.811231834711677
2011-08-07,1312675200,0.935571423658049
2011-08-08,1312761600,0.9294538360717547
2011-08-09,1312848000,1.0028401583903148
2011-08-10,1312934400,0.9986608255253993
2011-08-11,1313020800,0.9842116340784633
2011-08-12,1313107200,0.9898367414451507
2011-08-13,1313193600,1.0041378738963531
2011-08-14,1313280000,1.006409323809864
2011-08-15,1313366400,1.0186693589611295
2011-08-16,1313452800,1.0102416085014596
2011-08-17,1313539200,1.0137230229532261
2011-08-18,1313625600,1.0047817216300416
2011-08-19,1313712000,1.0039175818961026
2011-08-20,1313798400,1.0107778121835111
2011-08-21,1313884800,0.9970191772351119
2011-08-22,1313971200,1.0002628024430669
2011-08-23,1314057600,0.9938340012025737
2011-08-24,1314144000,0.9995634660402819
2011-08-25,1314230400,1.1322531022728104
2011-08-26,1314316800,1.0209662680769804
2011-08-27,1314403200,0.8948486885717286
2011-08-28,1314489600,1.0063773508823115
2011-08-29,1314576000,1.0144131816179192
2011-08-30,1314662400,0.9834768141563969
2011-08-31,1314748800,0.9807358962399445
2011-09-01,1314835200,0.9734947835566843
2011-09-02,1314921600,1.0027359219551748
2011-09-03,1315008000,0.9953738303016718
2011-09-04,1315094400,0.9970815731318279
2011-09-05,1315180800,0.9955682526848898
2011-09-06,1315267200,0.9927210919080064
2011-09-07,1315353600,0.9770069174264117
2011-09-08,1315440000,0.9469695560878436
2011-09-09,1315526400,0.9310920113772749
2011-09-10,1315612800,0.9482501693052257
2011-09-11,1315699200,0.7896069176232331
2011-09-12,1315785600,0.9717596554940112
2011-09-13,1315872000,0.9319767434770778
2011-09-14,1315958400,0.9676938592503659
2011-09-15,1316044800,0.9391322011011491
2011-09-16,1316131200,0.9716934348093741
2011-09-17,1316217600,0.9775153370529557
2011-09-18,1316304000,0.9827768339477636
2011-09-19,1316390400,0.9681119537447922
2011-09-20,1316476800,0.9959631369503699
2011-09-21,1316563200,0.99962416710843
2011-09-22,1316649600,0.9553026871152871
2011-09-23,1316736000,0.9865325196154555
2011-09-24,1316822400,0.9836856073548578
